Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8576969;2616685.181426909;1235766.0956077126;Wolfisberg, Alpenblick;0;0;26;0;0;64.62;0
8576971;2697831.0290252985;1114860.9471071945;Golino, Ponte;0;0;17;0;0;98.82;0
8576972;2600076.089147867;1207929.1077983412;Münchenbuchsee, Schönegg;0;0;56;0;0;30;5
8576973;2599858.202722657;1207951.5685247413;Münchenbuchsee, Mätteli;0;0;56;0;0;30;5
8576974;2600166.867058989;1207649.288145722;Münchenbuchsee, Lindenweg;0;0;56;0;0;30;5
8576975;2600532.941392417;1207683.3239356384;Münchenbuchsee, Coop;0;0;112;0;0;15;4
8576976;2601075.2671616776;1207575.1087386834;Münchenbuchsee, Kipfgasse;0;0;120;0;0;14;4
8576977;2601339.6277932404;1207187.057226121;Münchenbuchsee, Hofwilstrasse;0;0;112;0;0;15;4
8576978;2601669.714849295;1206536.2244485463;Münchenbuchsee, Waldegg;0;0;112;0;0;15;4
8576980;2601485.688436265;1204945.8652498012;Zollikofen, alte Post;0;0;56;0;0;30;5
8576981;2601388.0360847195;1204544.624537382;Unterzollikofen, Bahnhof;0;0;225;0;0;7.47;3
8576982;2601414.951055704;1203588.889174995;Steinibach, Bahnhof;0;0;112;0;0;15;4
8576983;2601503.8590622386;1203079.189143769;Worblaufen, Bahnhof;0;0;169;0;0;9.94;3
8576984;2601976.2519820947;1202932.908669191;Worblaufen, Sandhof;0;0;110;0;0;15.27;4
8576985;2602360.652429464;1202137.0578169764;Bern, Löchligut;0;0;110;0;0;15.27;4
8576987;2601600.596720926;1201768.1713101217;Bern, Wankdorf City;0;0;110;0;0;15.27;4
8576988;2601279.9921775404;1201673.380206064;Bern, Stauffacherbrücke;0;0;110;0;0;15.27;4
8576989;2601232.1855419097;1201348.3064756736;Bern, Winkelriedstrasse;0;0;110;0;0;15.27;4
8576990;2601935.1754621114;1200946.93513095;Bern, Guisanplatz Expo;0;0;411;0;0;4.09;2
